ID,Timestamp,X,Y,Button,Duration
009-tf2-320,1679347744.5787997,855,77,-1,-1
009-tf2-320,1679347744.594781,865,78,-1,-1
009-tf2-320,1679347744.610762,884,81,-1,-1
009-tf2-320,1679347744.6187532,888,82,-1,-1
009-tf2-320,1679347744.6267443,898,85,-1,-1
009-tf2-320,1679347744.6347346,904,87,-1,-1
009-tf2-320,1679347744.6427255,911,90,-1,-1
009-tf2-320,1679347744.6507156,912,92,-1,-1
009-tf2-320,1679347744.6587062,915,92,-1,-1
009-tf2-320,1679347744.6666973,919,94,-1,-1
009-tf2-320,1679347744.6836772,919,95,-1,-1
009-tf2-320,1679347744.6996589,920,96,-1,-1
009-tf2-320,1679347744.7156403,924,97,-1,-1
009-tf2-320,1679347744.7236307,927,101,-1,-1
009-tf2-320,1679347744.7396119,941,109,-1,-1
009-tf2-320,1679347744.7555933,952,115,-1,-1
009-tf2-320,1679347744.7715745,967,123,-1,-1
009-tf2-320,1679347744.7795653,970,124,-1,-1
009-tf2-320,1679347744.787556,978,126,-1,-1
009-tf2-320,1679347744.7955463,987,129,-1,-1
009-tf2-320,1679347744.8035374,992,131,-1,-1
009-tf2-320,1679347744.811528,996,132,-1,-1
009-tf2-320,1679347744.8195188,1004,135,-1,-1
009-tf2-320,1679347744.827509,1011,139,-1,-1
009-tf2-320,1679347744.8354998,1018,142,-1,-1
009-tf2-320,1679347744.8434904,1021,143,-1,-1
009-tf2-320,1679347744.8514812,1030,147,-1,-1
009-tf2-320,1679347744.8594718,1037,151,-1,-1
009-tf2-320,1679347744.8674629,1043,155,-1,-1
009-tf2-320,1679347744.883444,1049,160,-1,-1
009-tf2-320,1679347744.8989315,1054,165,-1,-1
009-tf2-320,1679347744.906922,1054,165,-1,-1
009-tf2-320,1679347744.9149125,1055,166,-1,-1
009-tf2-320,1679347744.9229033,1055,168,-1,-1
009-tf2-320,1679347744.930894,1056,168,-1,-1
009-tf2-320,1679347744.9388845,1056,169,-1,-1
009-tf2-320,1679347744.946875,1056,169,-1,-1
009-tf2-320,1679347744.954866,1056,171,-1,-1
009-tf2-320,1679347744.9708471,1057,172,-1,-1
009-tf2-320,1679347744.9868286,1057,176,-1,-1
009-tf2-320,1679347744.9948194,1058,182,-1,-1
009-tf2-320,1679347745.0028105,1059,186,-1,-1
009-tf2-320,1679347745.0108006,1060,188,-1,-1
009-tf2-320,1679347745.0187914,1061,194,-1,-1
009-tf2-320,1679347745.026782,1061,202,-1,-1
009-tf2-320,1679347745.0427632,1063,212,-1,-1
009-tf2-320,1679347745.0507538,1065,217,-1,-1
009-tf2-320,1679347745.0587444,1066,224,-1,-1
009-tf2-320,1679347745.0667355,1066,227,-1,-1
009-tf2-320,1679347745.0747259,1066,228,-1,-1
009-tf2-320,1679347745.0827165,1066,232,-1,-1
009-tf2-320,1679347745.0907075,1066,233,-1,-1
009-tf2-320,1679347745.0986981,1063,233,-1,-1
009-tf2-320,1679347745.1066887,1054,233,-1,-1
009-tf2-320,1679347745.114679,1051,232,-1,-1
009-tf2-320,1679347745.1226704,1041,224,-1,-1
009-tf2-320,1679347745.1316597,1025,211,-1,-1
009-tf2-320,1679347745.1396503,1013,198,-1,-1
009-tf2-320,1679347745.4028487,1013,197,-1,-1
009-tf2-320,1679347745.6036148,1013,197,-1,-1
009-tf2-320,1679347745.6195958,1014,200,-1,-1
009-tf2-320,1679347745.6275866,1017,209,-1,-1
009-tf2-320,1679347745.6435676,1022,235,-1,-1
009-tf2-320,1679347745.6675396,1025,314,-1,-1
009-tf2-320,1679347745.683521,1025,392,-1,-1
009-tf2-320,1679347745.6915119,1025,427,-1,-1
009-tf2-320,1679347745.6995022,1025,438,-1,-1
009-tf2-320,1679347745.707493,1025,464,-1,-1
009-tf2-320,1679347745.715484,1025,478,-1,-1
009-tf2-320,1679347745.7234745,1025,493,-1,-1
009-tf2-320,1679347745.7314649,1025,498,-1,-1
009-tf2-320,1679347745.7394555,1025,506,-1,-1
009-tf2-320,1679347745.7474463,1025,514,-1,-1
009-tf2-320,1679347745.755437,1025,524,-1,-1
009-tf2-320,1679347745.7634277,1025,526,-1,-1
009-tf2-320,1679347745.771418,1025,531,-1,-1
009-tf2-320,1679347745.779409,1025,533,-1,-1
009-tf2-320,1679347745.7948966,1025,534,-1,-1
009-tf2-320,1679347745.810878,1025,535,-1,-1
009-tf2-320,1679347745.826859,1024,537,-1,-1
009-tf2-320,1679347745.8508313,1022,538,-1,-1
009-tf2-320,1679347745.8668125,1019,541,-1,-1
009-tf2-320,1679347745.8827934,1019,546,-1,-1
009-tf2-320,1679347745.8987753,1017,554,-1,-1
009-tf2-320,1679347745.9147565,1017,570,-1,-1
009-tf2-320,1679347745.9307377,1017,581,-1,-1
009-tf2-320,1679347745.946719,1017,590,-1,-1
009-tf2-320,1679347745.9627004,1017,600,-1,-1
009-tf2-320,1679347745.9786818,1017,607,-1,-1
009-tf2-320,1679347745.9866726,1017,609,-1,-1
009-tf2-320,1679347745.995662,1017,614,-1,-1
009-tf2-320,1679347746.0036526,1017,616,-1,-1
009-tf2-320,1679347746.0116434,1017,619,-1,-1
009-tf2-320,1679347746.019634,1017,620,-1,-1
