ID,Timestamp,X,Y,Button,Duration
020-poly-403,1680551322.6121142,1575,411,-1,-1
020-poly-403,1680551322.6441083,1570,409,-1,-1
020-poly-403,1680551322.6524963,1569,409,-1,-1
020-poly-403,1680551322.6996167,1569,409,-1,-1
020-poly-403,1680551322.7156727,1565,408,-1,-1
020-poly-403,1680551322.7316449,1561,408,-1,-1
020-poly-403,1680551322.7396805,1559,408,-1,-1
020-poly-403,1680551322.7476172,1559,408,-1,-1
020-poly-403,1680551322.7724323,1558,408,-1,-1
020-poly-403,1680551322.7957115,1556,408,-1,-1
020-poly-403,1680551322.8120792,1553,408,-1,-1
020-poly-403,1680551322.8204546,1551,408,-1,-1
020-poly-403,1680551322.8279796,1549,408,-1,-1
020-poly-403,1680551322.83601,1549,408,-1,-1
020-poly-403,1680551322.8440514,1548,407,-1,-1
020-poly-403,1680551322.8597393,1548,407,-1,-1
020-poly-403,1680551322.9080453,1547,407,-1,-1
020-poly-403,1680551322.9236817,1542,406,-1,-1
020-poly-403,1680551322.9320412,1540,406,-1,-1
020-poly-403,1680551322.9403508,1539,405,-1,-1
020-poly-403,1680551322.9565182,1536,404,-1,-1
020-poly-403,1680551322.9641957,1535,404,-1,-1
020-poly-403,1680551322.9722161,1535,404,-1,-1
020-poly-403,1680551322.9798698,1534,404,-1,-1
020-poly-403,1680551322.9884279,1534,404,-1,-1
020-poly-403,1680551322.9960315,1532,403,-1,-1
020-poly-403,1680551323.0044281,1532,403,-1,-1
020-poly-403,1680551323.1564324,1532,403,0,-1
020-poly-403,1680551323.2364182,1532,403,0,0.0799858570098877
020-poly-403,1680551323.3404334,1532,402,-1,-1
020-poly-403,1680551323.3478377,1523,397,-1,-1
020-poly-403,1680551323.3564863,1523,397,-1,-1
020-poly-403,1680551323.5802567,1528,404,-1,-1
020-poly-403,1680551323.596259,1553,397,-1,-1
020-poly-403,1680551323.6123571,1613,397,-1,-1
020-poly-403,1680551323.6204193,1665,398,-1,-1
020-poly-403,1680551323.6282618,1736,397,-1,-1
020-poly-403,1680551323.6364207,1820,389,-1,-1
020-poly-403,1680551323.6441157,1916,380,-1,-1
020-poly-403,1680551323.652419,2028,364,-1,-1
020-poly-403,1680551323.6605177,2145,345,-1,-1
020-poly-403,1680551323.6678302,2263,325,-1,-1
020-poly-403,1680551323.6756055,2381,301,-1,-1
020-poly-403,1680551323.6835973,2496,274,-1,-1
020-poly-403,1680551323.6919317,2601,246,-1,-1
020-poly-403,1680551323.6996357,2656,224,-1,-1
020-poly-403,1680551323.707637,2629,205,-1,-1
020-poly-403,1680551323.7244327,2589,179,-1,-1
020-poly-403,1680551323.7317173,2570,172,-1,-1
020-poly-403,1680551323.740367,2564,170,-1,-1
020-poly-403,1680551323.74815,2559,168,-1,-1
020-poly-403,1680551323.7796736,2559,168,-1,-1
020-poly-403,1680551323.8044326,2559,166,-1,-1
020-poly-403,1680551323.883866,2559,166,-1,-1
020-poly-403,1680551323.900418,2559,161,-1,-1
020-poly-403,1680551323.9084754,2559,157,-1,-1
020-poly-403,1680551323.9164183,2559,154,-1,-1
020-poly-403,1680551323.9244235,2559,150,-1,-1
020-poly-403,1680551323.9324152,2559,145,-1,-1
020-poly-403,1680551323.9405167,2559,141,-1,-1
020-poly-403,1680551323.9484458,2558,138,-1,-1
020-poly-403,1680551323.956487,2556,133,-1,-1
020-poly-403,1680551323.96407,2553,130,-1,-1
020-poly-403,1680551323.9725165,2551,126,-1,-1
020-poly-403,1680551323.9806206,2546,121,-1,-1
020-poly-403,1680551323.9885206,2542,117,-1,-1
020-poly-403,1680551323.996525,2537,112,-1,-1
020-poly-403,1680551324.0044296,2534,108,-1,-1
020-poly-403,1680551324.01207,2532,106,-1,-1
020-poly-403,1680551324.019744,2531,105,-1,-1
020-poly-403,1680551324.027769,2531,104,-1,-1
020-poly-403,1680551324.036104,2531,103,-1,-1
020-poly-403,1680551324.0520434,2531,103,-1,-1
020-poly-403,1680551324.0685663,2531,101,-1,-1
020-poly-403,1680551324.083608,2531,99,-1,-1
020-poly-403,1680551324.1004288,2531,96,-1,-1
020-poly-403,1680551324.1076555,2531,95,-1,-1
020-poly-403,1680551324.1239116,2531,91,-1,-1
020-poly-403,1680551324.139628,2531,85,-1,-1
020-poly-403,1680551324.1561074,2531,79,-1,-1
020-poly-403,1680551324.1721034,2530,73,-1,-1
020-poly-403,1680551324.1880744,2529,70,-1,-1
020-poly-403,1680551324.20412,2528,66,-1,-1
020-poly-403,1680551324.2117236,2527,65,-1,-1
020-poly-403,1680551324.2204297,2527,64,-1,-1
020-poly-403,1680551324.2284334,2526,62,-1,-1
020-poly-403,1680551324.2444334,2524,58,-1,-1
020-poly-403,1680551324.2521675,2522,56,-1,-1
020-poly-403,1680551324.260429,2521,55,-1,-1
020-poly-403,1680551324.2683878,2520,54,-1,-1
020-poly-403,1680551324.2764494,2520,54,-1,-1
020-poly-403,1680551324.3004284,2520,53,-1,-1
020-poly-403,1680551324.3482132,2520,53,-1,-1
020-poly-403,1680551324.3565207,2520,52,-1,-1
020-poly-403,1680551324.3640752,2520,50,-1,-1
020-poly-403,1680551324.3725169,2520,50,-1,-1
020-poly-403,1680551324.3802364,2519,48,-1,-1
020-poly-403,1680551324.395698,2519,48,-1,-1
020-poly-403,1680551324.4364552,2519,48,0,-1
020-poly-403,1680551324.5086153,2519,48,0,0.07216000556945801
020-poly-403,1680551324.5564322,2515,52,-1,-1
020-poly-403,1680551324.5643675,2507,60,-1,-1
020-poly-403,1680551324.5796583,2490,84,-1,-1
020-poly-403,1680551324.5884943,2476,105,-1,-1
020-poly-403,1680551324.5957932,2460,127,-1,-1
020-poly-403,1680551324.6044672,2440,155,-1,-1
020-poly-403,1680551324.6122732,2414,188,-1,-1
020-poly-403,1680551324.6204283,2381,225,-1,-1
020-poly-403,1680551324.6284714,2340,274,-1,-1
020-poly-403,1680551324.6364174,2294,324,-1,-1
020-poly-403,1680551324.6444514,2238,380,-1,-1
020-poly-403,1680551324.6525042,2180,436,-1,-1
020-poly-403,1680551324.6605186,2102,516,-1,-1
