ID,Timestamp,X,Y,Button,Duration
014-poly-328,1680030232.247901,1250,414,-1,-1
014-poly-328,1680030232.2718732,1248,402,-1,-1
014-poly-328,1680030232.2798638,1246,397,-1,-1
014-poly-328,1680030232.303836,1245,396,-1,-1
014-poly-328,1680030232.3208163,1252,381,-1,-1
014-poly-328,1680030232.343789,1306,318,-1,-1
014-poly-328,1680030232.3597703,1331,299,-1,-1
014-poly-328,1680030232.36876,1332,299,-1,-1
014-poly-328,1680030232.3767502,1333,298,-1,-1
014-poly-328,1680030232.3847413,1333,297,-1,-1
014-poly-328,1680030232.392732,1331,297,-1,-1
014-poly-328,1680030232.4007227,1324,297,-1,-1
014-poly-328,1680030232.408713,1314,297,-1,-1
014-poly-328,1680030232.4167042,1309,297,-1,-1
014-poly-328,1680030232.4246945,1291,297,-1,-1
014-poly-328,1680030232.4326854,1266,296,-1,-1
014-poly-328,1680030232.4486668,1211,294,-1,-1
014-poly-328,1680030232.4646482,1082,286,-1,-1
014-poly-328,1680030232.4726386,1020,270,-1,-1
014-poly-328,1680030232.4806294,1007,266,-1,-1
014-poly-328,1680030232.4886203,969,254,-1,-1
014-poly-328,1680030232.4966109,938,238,-1,-1
014-poly-328,1680030232.504602,908,221,-1,-1
014-poly-328,1680030232.512592,901,215,-1,-1
014-poly-328,1680030232.5205834,880,201,-1,-1
014-poly-328,1680030232.5285738,857,182,-1,-1
014-poly-328,1680030232.536564,843,167,-1,-1
014-poly-328,1680030232.544555,839,163,-1,-1
014-poly-328,1680030232.5525453,837,156,-1,-1
014-poly-328,1680030232.5600424,837,153,-1,-1
014-poly-328,1680030232.568033,837,152,-1,-1
014-poly-328,1680030232.5760236,837,152,-1,-1
014-poly-328,1680030232.5920048,840,154,-1,-1
014-poly-328,1680030232.5999954,841,162,-1,-1
014-poly-328,1680030232.6079862,843,174,-1,-1
014-poly-328,1680030232.6159768,843,188,-1,-1
014-poly-328,1680030232.6239674,843,196,-1,-1
