ID,Timestamp,X,Y,Button,Duration
008-poly-317,1679090315.761534,972,525,-1,-1
008-poly-317,1679090315.793678,955,531,-1,-1
008-poly-317,1679090315.809674,953,531,-1,-1
008-poly-317,1679090315.817071,953,532,-1,-1
008-poly-317,1679090315.8257196,952,532,-1,-1
008-poly-317,1679090315.8654242,952,533,-1,-1
008-poly-317,1679090315.8817203,952,534,-1,-1
008-poly-317,1679090315.897673,954,534,-1,-1
008-poly-317,1679090315.9134521,954,535,-1,-1
008-poly-317,1679090315.9294996,954,535,-1,-1
008-poly-317,1679090315.9454827,959,539,-1,-1
008-poly-317,1679090315.9534743,962,541,-1,-1
008-poly-317,1679090315.9616733,966,545,-1,-1
008-poly-317,1679090315.969673,969,549,-1,-1
008-poly-317,1679090315.9769912,975,555,-1,-1
008-poly-317,1679090315.985741,977,561,-1,-1
008-poly-317,1679090315.9935493,982,570,-1,-1
008-poly-317,1679090316.0017393,986,581,-1,-1
008-poly-317,1679090316.0095115,992,592,-1,-1
008-poly-317,1679090316.0177581,1002,603,-1,-1
008-poly-317,1679090316.0255961,1021,613,-1,-1
008-poly-317,1679090316.033739,1047,620,-1,-1
008-poly-317,1679090316.0417721,1078,623,-1,-1
008-poly-317,1679090316.0496736,1109,624,-1,-1
008-poly-317,1679090316.057179,1131,624,-1,-1
008-poly-317,1679090316.0657387,1158,624,-1,-1
008-poly-317,1679090316.0734906,1183,624,-1,-1
008-poly-317,1679090316.0815368,1202,626,-1,-1
008-poly-317,1679090316.0895255,1219,626,-1,-1
008-poly-317,1679090316.1051993,1250,624,-1,-1
008-poly-317,1679090316.1214468,1281,621,-1,-1
008-poly-317,1679090316.1377425,1307,618,-1,-1
008-poly-317,1679090316.1455426,1316,611,-1,-1
008-poly-317,1679090316.153678,1323,604,-1,-1
008-poly-317,1679090316.161505,1329,597,-1,-1
008-poly-317,1679090316.1692958,1336,591,-1,-1
008-poly-317,1679090316.1769009,1341,589,-1,-1
008-poly-317,1679090316.1849053,1344,588,-1,-1
008-poly-317,1679090316.1937346,1346,588,-1,-1
008-poly-317,1679090316.201763,1349,588,-1,-1
008-poly-317,1679090316.2096653,1351,588,-1,-1
008-poly-317,1679090316.2169275,1353,588,-1,-1
008-poly-317,1679090316.2256773,1353,588,-1,-1
008-poly-317,1679090316.329084,1353,589,-1,-1
