ID,Timestamp,X,Y,Button,Duration
008-tf2-317,1679089123.520124,960,540,-1,-1
008-tf2-317,1679089123.5361073,959,540,-1,-1
008-tf2-317,1679089123.5520937,959,540,-1,-1
008-tf2-317,1679089123.5760658,958,539,-1,-1
008-tf2-317,1679089123.5920603,954,537,-1,-1
008-tf2-317,1679089123.6000485,951,534,-1,-1
008-tf2-317,1679089123.6080344,944,532,-1,-1
008-tf2-317,1679089123.6160257,928,528,-1,-1
008-tf2-317,1679089123.624018,893,521,-1,-1
008-tf2-317,1679089123.63201,840,509,-1,-1
008-tf2-317,1679089123.6400115,770,494,-1,-1
008-tf2-317,1679089123.6479933,681,472,-1,-1
008-tf2-317,1679089123.6559854,603,450,-1,-1
008-tf2-317,1679089123.6639771,530,427,-1,-1
008-tf2-317,1679089123.6719682,470,406,-1,-1
008-tf2-317,1679089123.67996,433,385,-1,-1
008-tf2-317,1679089123.6879528,409,371,-1,-1
008-tf2-317,1679089123.6959443,398,359,-1,-1
008-tf2-317,1679089123.7119274,391,344,-1,-1
008-tf2-317,1679089123.7199194,387,338,-1,-1
008-tf2-317,1679089123.7279112,383,332,-1,-1
008-tf2-317,1679089123.7448943,370,316,-1,-1
008-tf2-317,1679089123.7608774,360,306,-1,-1
008-tf2-317,1679089123.7768612,355,299,-1,-1
008-tf2-317,1679089123.7839956,353,297,-1,-1
008-tf2-317,1679089123.7919862,352,295,-1,-1
008-tf2-317,1679089123.7999775,350,293,-1,-1
008-tf2-317,1679089123.8079844,348,289,-1,-1
008-tf2-317,1679089123.8159623,346,287,-1,-1
008-tf2-317,1679089123.8239627,345,285,-1,-1
008-tf2-317,1679089123.8319461,343,283,-1,-1
008-tf2-317,1679089123.8399377,343,282,-1,-1
008-tf2-317,1679089123.8808954,343,281,-1,-1
008-tf2-317,1679089123.8968775,354,280,-1,-1
008-tf2-317,1679089123.9128642,379,277,-1,-1
008-tf2-317,1679089123.919856,397,277,-1,-1
008-tf2-317,1679089123.9288466,419,277,-1,-1
008-tf2-317,1679089123.9368374,445,279,-1,-1
008-tf2-317,1679089123.9448304,471,284,-1,-1
008-tf2-317,1679089123.9528217,503,291,-1,-1
008-tf2-317,1679089123.9608145,539,303,-1,-1
008-tf2-317,1679089123.9688058,575,316,-1,-1
008-tf2-317,1679089123.98479,647,347,-1,-1
008-tf2-317,1679089124.0007737,699,371,-1,-1
008-tf2-317,1679089124.0087655,719,380,-1,-1
008-tf2-317,1679089124.0167575,732,387,-1,-1
008-tf2-317,1679089124.024756,747,393,-1,-1
008-tf2-317,1679089124.0407388,767,404,-1,-1
008-tf2-317,1679089124.0567214,786,415,-1,-1
008-tf2-317,1679089124.064713,799,422,-1,-1
008-tf2-317,1679089124.0727057,811,427,-1,-1
008-tf2-317,1679089124.0806987,821,432,-1,-1
008-tf2-317,1679089124.088689,830,435,-1,-1
008-tf2-317,1679089124.0966809,834,438,-1,-1
008-tf2-317,1679089124.1046724,836,438,-1,-1
008-tf2-317,1679089124.1126645,836,439,-1,-1
008-tf2-317,1679089124.1606252,837,439,-1,-1
008-tf2-317,1679089124.176608,839,441,-1,-1
008-tf2-317,1679089124.1846015,843,442,-1,-1
008-tf2-317,1679089124.1925983,847,444,-1,-1
008-tf2-317,1679089124.200585,853,446,-1,-1
008-tf2-317,1679089124.2085679,857,447,-1,-1
008-tf2-317,1679089124.2165732,860,448,-1,-1
008-tf2-317,1679089124.2245739,862,448,-1,-1
008-tf2-317,1679089124.2325573,863,448,-1,-1
008-tf2-317,1679089124.2405488,864,448,-1,-1
008-tf2-317,1679089124.2485409,867,448,-1,-1
008-tf2-317,1679089124.2645242,878,451,-1,-1
