ID,Timestamp,X,Y,Button,Duration
011-poly-326,1679862172.8422117,1983,989,-1,-1
011-poly-326,1679862172.914127,1983,988,-1,-1
011-poly-326,1679862172.930109,1983,986,-1,-1
011-poly-326,1679862172.9460902,1980,982,-1,-1
011-poly-326,1679862172.9540806,1979,980,-1,-1
011-poly-326,1679862172.9620712,1978,978,-1,-1
011-poly-326,1679862172.9700618,1976,974,-1,-1
011-poly-326,1679862172.9780526,1975,972,-1,-1
011-poly-326,1679862172.9860435,1975,971,-1,-1
011-poly-326,1679862172.9940357,1974,970,-1,-1
011-poly-326,1679862173.0015326,1974,969,-1,-1
011-poly-326,1679862173.0095232,1974,968,-1,-1
011-poly-326,1679862173.1373744,1974,968,0,-1
011-poly-326,1679862173.2662237,1974,968,0,0.12884926795959473
011-poly-326,1679862175.4574258,1974,968,-1,-1
011-poly-326,1679862175.481398,1973,968,-1,-1
011-poly-326,1679862175.4973793,1967,970,-1,-1
011-poly-326,1679862175.513361,1934,986,-1,-1
011-poly-326,1679862175.9293802,1916,1002,-1,-1
011-poly-326,1679862175.9533522,1916,1006,-1,-1
011-poly-326,1679862175.9693332,1916,1008,-1,-1
011-poly-326,1679862175.9773238,1916,1011,-1,-1
011-poly-326,1679862175.9853148,1916,1013,-1,-1
011-poly-326,1679862175.9933057,1916,1017,-1,-1
011-poly-326,1679862176.0012963,1918,1021,-1,-1
011-poly-326,1679862176.049241,1918,1023,-1,-1
011-poly-326,1679862176.505213,1917,1023,-1,-1
011-poly-326,1679862176.5291843,1909,1014,-1,-1
011-poly-326,1679862176.5451658,1897,1002,-1,-1
011-poly-326,1679862176.5541553,1885,991,-1,-1
011-poly-326,1679862176.5621457,1876,984,-1,-1
011-poly-326,1679862176.5701365,1868,979,-1,-1
011-poly-326,1679862176.5781274,1866,978,-1,-1
011-poly-326,1679862176.5861177,1859,975,-1,-1
011-poly-326,1679862176.5941083,1851,971,-1,-1
011-poly-326,1679862176.601605,1842,969,-1,-1
011-poly-326,1679862176.6095953,1839,968,-1,-1
011-poly-326,1679862176.6175864,1834,966,-1,-1
011-poly-326,1679862176.625577,1824,966,-1,-1
011-poly-326,1679862176.633568,1815,964,-1,-1
011-poly-326,1679862176.6415586,1812,963,-1,-1
011-poly-326,1679862176.6575396,1795,962,-1,-1
011-poly-326,1679862176.6655307,1791,962,-1,-1
011-poly-326,1679862176.6735208,1789,962,-1,-1
011-poly-326,1679862176.6815116,1784,961,-1,-1
011-poly-326,1679862176.6895025,1777,960,-1,-1
011-poly-326,1679862176.697493,1769,959,-1,-1
011-poly-326,1679862176.7054834,1765,958,-1,-1
011-poly-326,1679862176.7134743,1756,956,-1,-1
011-poly-326,1679862176.721465,1748,956,-1,-1
011-poly-326,1679862176.7294562,1741,953,-1,-1
011-poly-326,1679862176.7374463,1738,952,-1,-1
011-poly-326,1679862176.745437,1737,952,-1,-1
011-poly-326,1679862176.7614183,1736,952,-1,-1
011-poly-326,1679862176.9941466,1736,951,-1,-1
011-poly-326,1679862177.0096333,1738,951,-1,-1
011-poly-326,1679862177.0256145,1742,951,-1,-1
011-poly-326,1679862177.0336053,1745,951,-1,-1
011-poly-326,1679862177.0495872,1749,951,-1,-1
011-poly-326,1679862177.0575771,1751,951,-1,-1
011-poly-326,1679862177.065568,1754,951,-1,-1
011-poly-326,1679862177.0735586,1757,951,-1,-1
011-poly-326,1679862177.0815494,1759,951,-1,-1
011-poly-326,1679862177.0975306,1770,951,-1,-1
011-poly-326,1679862177.1135116,1781,951,-1,-1
011-poly-326,1679862177.1215022,1788,951,-1,-1
011-poly-326,1679862177.1294932,1794,951,-1,-1
011-poly-326,1679862177.1374838,1798,951,-1,-1
011-poly-326,1679862177.1454747,1800,951,-1,-1
011-poly-326,1679862177.153465,1805,952,-1,-1
011-poly-326,1679862177.1614559,1810,954,-1,-1
011-poly-326,1679862177.1694465,1815,955,-1,-1
011-poly-326,1679862177.177437,1817,956,-1,-1
011-poly-326,1679862177.1854277,1823,958,-1,-1
011-poly-326,1679862177.1934185,1831,960,-1,-1
011-poly-326,1679862177.2093997,1847,961,-1,-1
011-poly-326,1679862177.2173908,1850,961,-1,-1
011-poly-326,1679862177.2253811,1857,961,-1,-1
011-poly-326,1679862177.2333722,1865,961,-1,-1
011-poly-326,1679862177.2413623,1870,961,-1,-1
011-poly-326,1679862177.2573438,1876,961,-1,-1
011-poly-326,1679862177.2733252,1879,962,-1,-1
011-poly-326,1679862177.2893066,1880,962,-1,-1
011-poly-326,1679862177.3292599,1881,962,-1,-1
011-poly-326,1679862177.3372505,1882,962,-1,-1
011-poly-326,1679862177.353232,1886,962,-1,-1
011-poly-326,1679862177.369213,1894,962,-1,-1
