ID,Timestamp,X,Y,Button,Duration
018-poly-330,1680214183.7788413,1795,770,-1,-1
018-poly-330,1680214183.794823,1795,766,-1,-1
018-poly-330,1680214183.8028135,1796,765,-1,-1
018-poly-330,1680214183.8108041,1796,760,-1,-1
018-poly-330,1680214183.818795,1797,758,-1,-1
018-poly-330,1680214183.827292,1797,755,-1,-1
018-poly-330,1680214183.8352787,1797,754,-1,-1
018-poly-330,1680214183.8432693,1797,748,-1,-1
018-poly-330,1680214183.8512602,1797,733,-1,-1
018-poly-330,1680214183.859251,1797,719,-1,-1
018-poly-330,1680214183.8672414,1797,711,-1,-1
018-poly-330,1680214183.8752325,1797,690,-1,-1
018-poly-330,1680214183.883223,1797,674,-1,-1
018-poly-330,1680214183.8912137,1797,659,-1,-1
018-poly-330,1680214183.9071949,1797,645,-1,-1
018-poly-330,1680214183.9231763,1797,621,-1,-1
018-poly-330,1680214183.9391575,1794,595,-1,-1
018-poly-330,1680214183.9471486,1787,573,-1,-1
018-poly-330,1680214183.955139,1775,552,-1,-1
018-poly-330,1680214183.9631293,1772,546,-1,-1
018-poly-330,1680214183.97112,1765,538,-1,-1
018-poly-330,1680214183.9791107,1758,532,-1,-1
018-poly-330,1680214183.995092,1752,528,-1,-1
018-poly-330,1680214184.0110734,1745,527,-1,-1
018-poly-330,1680214184.0270545,1741,527,-1,-1
018-poly-330,1680214184.0510266,1739,527,-1,-1
018-poly-330,1680214184.067008,1736,529,-1,-1
018-poly-330,1680214184.0829895,1730,533,-1,-1
018-poly-330,1680214184.1069613,1729,533,-1,-1
018-poly-330,1680214184.1229427,1727,533,-1,-1
018-poly-330,1680214184.1309335,1724,532,-1,-1
018-poly-330,1680214184.1469145,1719,528,-1,-1
018-poly-330,1680214184.1628962,1715,524,-1,-1
018-poly-330,1680214184.1708868,1713,523,-1,-1
018-poly-330,1680214184.178877,1713,521,-1,-1
018-poly-330,1680214184.186868,1711,521,-1,-1
018-poly-330,1680214184.1948586,1708,521,-1,-1
018-poly-330,1680214184.2028494,1708,520,-1,-1
018-poly-330,1680214184.2108397,1707,519,-1,-1
018-poly-330,1680214184.2188306,1706,519,-1,-1
018-poly-330,1680214184.2273293,1705,520,-1,-1
018-poly-330,1680214184.235315,1703,520,-1,-1
018-poly-330,1680214184.2433057,1702,520,-1,-1
018-poly-330,1680214184.2512965,1700,521,-1,-1
018-poly-330,1680214184.2592874,1700,522,-1,-1
018-poly-330,1680214184.2672777,1699,522,-1,-1
018-poly-330,1680214184.2752686,1698,523,-1,-1
018-poly-330,1680214184.2992406,1695,524,-1,-1
018-poly-330,1680214184.3232124,1694,524,-1,-1
018-poly-330,1680214184.3471844,1694,524,-1,-1
018-poly-330,1680214184.3631656,1691,525,-1,-1
018-poly-330,1680214184.379147,1689,528,-1,-1
018-poly-330,1680214184.387138,1684,532,-1,-1
018-poly-330,1680214184.3951283,1677,540,-1,-1
018-poly-330,1680214184.403119,1675,542,-1,-1
018-poly-330,1680214184.4111097,1666,551,-1,-1
018-poly-330,1680214184.4191005,1657,560,-1,-1
018-poly-330,1680214184.427091,1647,569,-1,-1
018-poly-330,1680214184.4350817,1641,573,-1,-1
018-poly-330,1680214184.4910161,1596,593,-1,-1
018-poly-330,1680214184.5069976,1596,591,-1,-1
018-poly-330,1680214184.5149887,1596,591,-1,-1
018-poly-330,1680214184.5229788,1597,591,-1,-1
018-poly-330,1680214184.5309696,1598,591,-1,-1
018-poly-330,1680214184.5469508,1599,591,-1,-1
018-poly-330,1680214184.755211,1600,590,-1,-1
018-poly-330,1680214184.7871737,1600,589,-1,-1
018-poly-330,1680214187.1309514,1600,587,-1,-1
018-poly-330,1680214187.1549234,1572,526,-1,-1
018-poly-330,1680214187.1709046,1519,395,-1,-1
018-poly-330,1680214187.178895,1447,245,-1,-1
018-poly-330,1680214187.1948764,1337,21,-1,-1
018-poly-330,1680214187.2108579,1173,-124,-1,-1
018-poly-330,1680214187.2188485,1098,-87,-1,-1
018-poly-330,1680214187.2273462,1066,-29,-1,-1
018-poly-330,1680214187.2353332,1016,-44,-1,-1
